,Ozone,Solar.R,Wind,Temp,Date
0,34.0,286.0,8.6,78.0,1973-06-01
1,29.0,287.0,9.7,74.0,1973-06-02
2,18.0,242.0,16.1,67.0,1973-06-03
3,48.0,186.0,9.2,84.0,1973-06-04
4,49.0,220.0,8.6,85.0,1973-06-05
5,26.0,264.0,14.3,79.0,1973-06-06
6,29.0,127.0,9.7,82.0,1973-06-07
7,62.0,273.0,6.9,87.0,1973-06-08
8,71.0,291.0,13.8,90.0,1973-06-09
9,39.0,323.0,11.5,87.0,1973-06-10
10,56.0,259.0,10.9,93.0,1973-06-11
11,62.0,250.0,9.2,92.0,1973-06-12
12,23.0,148.0,8.0,82.0,1973-06-13
13,27.0,332.0,13.8,80.0,1973-06-14
14,26.0,322.0,11.5,79.0,1973-06-15
15,21.0,191.0,14.9,77.0,1973-06-16
16,37.0,284.0,20.7,72.0,1973-06-17
17,20.0,37.0,9.2,65.0,1973-06-18
18,12.0,120.0,11.5,73.0,1973-06-19
19,13.0,137.0,10.3,76.0,1973-06-20
20,49.0,150.0,6.3,77.0,1973-06-21
21,70.0,59.0,1.7,76.0,1973-06-22
22,69.0,91.0,4.6,76.0,1973-06-23
23,52.0,250.0,6.3,76.0,1973-06-24
24,44.0,135.0,8.0,75.0,1973-06-25
25,55.0,127.0,8.0,78.0,1973-06-26
26,23.0,47.0,10.3,73.0,1973-06-27
27,50.0,98.0,11.5,80.0,1973-06-28
28,24.0,31.0,14.9,77.0,1973-06-29
29,66.0,138.0,8.0,83.0,1973-06-30
