지역,2024,2023,2022,2021,2020,2019,2018
서울,83868,72937,59327,40564,23393,14952,9564
인천,54398,40397,26242,12820,5366,2598,1284
경기,151850,114117,77648,39958,20477,11750,6383
강원,21004,18236,14012,7946,4078,2445,1377
충북,25375,19972,15140,8194,3883,2412,1199
충남,30654,24130,16611,9991,5489,2841,1127
대전,21314,17889,14476,7701,4469,2555,1334
세종,5424,4393,3034,1859,1148,903,394
경북,33905,26776,19154,11240,7051,4051,2001
대구,35212,30396,24161,16185,12630,11313,6605
전북,24872,19795,12727,7365,3323,1841,997
전남,31417,24200,15387,8708,5223,3326,1974
광주,15240,12538,9096,5194,3210,2464,1447
경남,46628,36225,22740,12606,6308,3626,2107
부산,44259,34643,22063,12375,5355,3216,1567
울산,9817,7838,5061,3166,2274,1447,847
제주,49007,39418,32976,25571,21285,18178,15549
합계,684244,543900,389855,231443,134962,89918,55756
