지역,2024,2023,2022,2021,2020,2019,2018,2017,2016
강원도,423,456,468,377,347,253,236,163,25
경기도,2049,2219,2268,2151,2023,1734,1639,735,140
경상남도,793,834,838,754,623,540,491,248,108
경상북도,673,690,670,574,419,386,313,202,47
광주광역시,207,252,251,247,207,157,134,70,26
대구광역시,519,615,662,644,616,546,498,357,31
대전광역시,311,343,340,307,291,268,253,213,12
부산광역시,395,408,408,351,317,294,268,144,27
서울특별시,1396,1479,1515,1469,1393,1254,1180,534,114
세종특별자치시,228,227,187,184,182,181,172,110,3
울산광역시,128,136,133,123,109,106,102,65,10
인천광역시,460,485,503,485,437,371,364,218,20
전라남도,494,517,525,446,389,356,334,213,92
전라북도,392,433,444,421,370,298,286,108,24
제주특별자치도,483,506,493,475,404,374,341,191,27
충청남도,414,440,433,370,293,235,218,131,21
충청북도,429,457,451,417,381,324,289,94,42
