지역,2024,2023,2022,2021,2020,2019,2018,2017,2016
강원도,423,263,255,200,173,153,128,106,5
경기도,2049,861,844,785,700,643,576,518,22
경상남도,793,430,414,393,340,237,218,182,24
경상북도,673,388,368,346,250,175,160,115,8
광주광역시,207,116,116,113,96,81,70,48,3
대구광역시,519,243,234,228,215,199,178,159,4
대전광역시,311,141,135,134,107,97,90,79,3
부산광역시,395,199,194,174,128,118,112,91,6
서울특별시,1396,594,589,578,540,501,473,404,25
세종특별자치시,228,58,58,58,57,56,56,45,0
울산광역시,128,58,55,53,46,43,40,36,4
인천광역시,460,190,186,167,140,124,115,104,3
전라남도,494,266,259,199,171,159,139,114,20
전라북도,392,212,207,200,154,136,119,100,9
제주특별자치도,483,224,216,210,189,189,172,144,6
충청남도,414,214,212,211,141,106,92,72,5
충청북도,429,217,210,204,179,155,138,119,13
